Country,Year,Waste,Income,Education,Women,Household,Age,Urban
Italy,2019,494.2389875140333,17165.0,17.5,53.9,2.3,46.8,0.7073600044172789
Cyprus,2019,436.756827382502,16215.0,40.0,70.1,2.7,37.7,0.6680500896783623
Latvia,2019,318.1892727926892,8187.0,31.4,75.5,2.3,43.5,0.682220185576297
Lithuania,2019,499.1146209502366,7586.0,37.9,77.4,2.2,44.2,0.6785501212002132
Luxembourg,2019,319.7914237365084,36354.0,41.0,68.1,2.3,39.5,0.9122307867245376
Hungary,2019,385.8635380945088,5852.0,22.5,71.3,2.3,43.0,0.7164399735916205
Malta,2019,388.1920930597497,15354.0,27.0,63.9,2.5,40.1,0.9467803563847303
Austria,2019,509.8852193117551,25729.0,31.1,72.4,2.2,43.4,0.5851499788286381
Poland,2019,300.2352199588749,7124.0,28.6,65.3,2.8,41.0,0.6003699940538081
Portugal,2019,506.5655827120312,10023.0,23.9,72.1,2.5,45.4,0.6576400000661076
Romania,2019,217.0674693395374,3851.0,16.0,55.4,2.6,42.5,0.5408399946148102
Slovenia,2019,305.9422106722245,14067.0,29.3,72.5,2.4,44.0,0.5482197966371143
Slovakia,2019,423.4029877012829,8119.0,23.1,71.7,2.9,40.6,0.5372900657059665
Finland,2019,408.820865375441,24879.0,38.5,74.5,2.0,42.9,0.8544599161910501
Sweden,2019,447.5012354739226,24474.0,37.8,79.1,2.0,40.5,0.8770799795736639
Norway,2019,469.0935284209227,39125.0,37.7,78.3,2.0,39.7,0.8261600449971354
Türkiye,2019,345.1630175054306,3021.0,18.4,34.4,3.3,32.0,0.7562999942842916
Belgium,2020,463.6509281020339,25672.0,37.6,65.6,2.3,41.8,0.9807899638465796
Bulgaria,2020,351.965018970891,4612.0,25.8,68.5,2.4,46.3,0.7568600587105739
Czechia,2020,571.1995364851063,10627.0,22.1,71.9,2.3,43.0,0.740610036139945
Denmark,2020,621.3429947260432,30681.0,33.7,74.3,2.0,42.1,0.8811600088074845
Germany,2020,462.6129918736356,26008.0,27.2,74.4,2.0,45.9,0.7745299950020965
